iteration,ex_accuracy,simple_acc,moderate_acc,challenging_acc,playbook_entries,playbook_enabled
5,0.0,0.0,0.0,0.0,52,False
10,0.1,0.125,0.0,0.0,52,False
15,0.26666666666666666,0.25,0.3333333333333333,0.0,52,False
20,0.25,0.23529411764705882,0.3333333333333333,0.0,52,False
25,0.2,0.2,0.2,0.0,52,False
30,0.16666666666666666,0.19047619047619047,0.125,0.0,52,False
35,0.14285714285714285,0.18181818181818182,0.08333333333333333,0.0,52,False
40,0.225,0.20833333333333334,0.21428571428571427,0.5,52,False
45,0.2,0.18518518518518517,0.1875,0.5,52,False
50,0.2,0.17857142857142858,0.2,0.5,52,False
55,0.2,0.18181818181818182,0.2,0.5,52,False
60,0.21666666666666667,0.1891891891891892,0.23809523809523808,0.5,52,False
65,0.24615384615384617,0.24390243902439024,0.23809523809523808,0.3333333333333333,52,False
70,0.2714285714285714,0.29545454545454547,0.21739130434782608,0.3333333333333333,52,False
75,0.25333333333333335,0.2765957446808511,0.2,0.3333333333333333,52,False
80,0.2375,0.2653061224489796,0.17857142857142858,0.3333333333333333,52,False
85,0.2235294117647059,0.25,0.1724137931034483,0.25,52,False
89,0.21348314606741572,0.24074074074074073,0.16666666666666666,0.2,52,False
5,0.2,0.3333333333333333,0.0,0.0,56,True
10,0.4,0.5,0.0,0.0,57,True
15,0.4,0.5,0.0,0.0,58,True
20,0.4,0.47058823529411764,0.0,0.0,58,True
25,0.32,0.4,0.0,0.0,58,True
30,0.26666666666666666,0.38095238095238093,0.0,0.0,58,True
35,0.22857142857142856,0.36363636363636365,0.0,0.0,58,True
40,0.25,0.375,0.0,0.5,58,True
45,0.2222222222222222,0.3333333333333333,0.0,0.5,58,True
50,0.22,0.32142857142857145,0.05,0.5,58,True
55,0.2,0.2727272727272727,0.05,0.5,58,True
60,0.26666666666666666,0.35135135135135137,0.09523809523809523,0.5,58,True
65,0.27692307692307694,0.36585365853658536,0.09523809523809523,0.3333333333333333,58,True
70,0.2857142857142857,0.36363636363636365,0.13043478260869565,0.3333333333333333,58,True
75,0.26666666666666666,0.3404255319148936,0.12,0.3333333333333333,58,True
80,0.2625,0.32653061224489793,0.14285714285714285,0.3333333333333333,58,True
85,0.24705882352941178,0.3076923076923077,0.13793103448275862,0.25,58,True
89,0.23595505617977527,0.2962962962962963,0.13333333333333333,0.2,58,True
